,Protein,Abundance,Sample,ID
2767,Histone H3.1t ,1,I-14,Q16695
2768,Histone H3.2 ,1,I-14,Q71DI3
2769,60S ribosomal protein L7a ,1,I-14,P62424
2770,BRI3-binding protein ,1,I-14,Q8WY22
2771,Heterogeneous nuclear ribonucleoprotein C-like 2 ,1,I-14,B2RXH8
2772,Ubiquitin-40S ribosomal protein S27a ,1,I-14,P62979
2773,Apolipoprotein(a) ,1,I-14,P02647
2774,60 kDa heat shock protein  mitochondrial ,1,I-14,P10809
2775,Histone H2AX ,1,I-14,P16104
2776,Histone H2A type 1-D ,1,I-14,P20671
2777,Histone H2A type 1 ,1,I-14,Q99878
2778,Beta-actin-like protein 2 ,1,I-14,Q562R1
2779,Histone H2A type 1-H ,1,I-14,Q96KK5
2780,Histone H2A type 2-A ,1,I-14,Q6FI13
2781,Histone H2A type 2-C ,1,I-14,Q16777
2782,Histone H2A type 1-C ,1,I-14,Q93077
2783,Histone H2A.J ,1,I-14,Q9BTM1
2784,Histone H2A type 3 ,1,I-14,Q7L7L0
2785,Peptidyl-prolyl cis-trans isomerase ,1,I-14,Q5VVH2
2786,Peptidyl-prolyl cis-trans isomerase A ,1,I-14,P62937
2787,Histone H2A type 1-A ,1,I-14,Q96QV6
2788,Immunoglobulin heavy variable 3-64D ,1,I-14,A0A0J9YX35
2789,Heterogeneous nuclear ribonucleoprotein C-like 4 ,1,I-14,P0DMR1
2790,Desmoglein-1 ,1,I-14,Q02413
2791,Lipocalin-1 ,1,I-14,Q5VSP4
2792,Galectin-7 ,1,I-14,P47929
2793,Proteasome subunit alpha type ,1,I-14,Q8TAA3
2794,Plastin-2 ,1,I-14,P13796
2795,T-complex protein 1 subunit delta ,1,I-14,P50991
2796,Elongation factor 1-gamma ,1,I-14,P26641
2797,HCG2029799 ,1,I-14,Q5TEH5
2798,ATPase family AAA domain-containing protein 2B ,1,I-14,Q9ULI0
2799,Nucleoprotein TPR ,1,I-14,P12270
2800,Peroxiredoxin-1 ,1,I-14,Q06830
2801,60S ribosomal protein L6 ,1,I-14,Q02878
2802,Heterogeneous nuclear ribonucleoprotein C-like 1 ,1,I-14,O60812
2803,Heterogeneous nuclear ribonucleoprotein C-like 3 ,1,I-14,B7ZW38
2804,Probable non-functional immunoglobulin heavy variable 3-16 ,1,I-14,A0A0C4DH30
2805,Triosephosphate isomerase ,1,I-14,P60174
2806,60S ribosomal protein L11 ,1,I-14,P62913
2807,Plakophilin-1 ,1,I-14,Q13835
2808,Sarcosine dehydrogenase  mitochondrial ,1,I-14,Q9UL12
2809,Proteasome subunit alpha type-6 ,1,I-14,P60900
2810,60S ribosomal protein L7 ,1,I-14,P18124
2811,Immunoglobulin heavy variable 3-48 ,0,I-14,P01763
2812,Apolipoprotein A-IV ,1,I-14,P06727
2813,Catalase ,1,I-14,P04040
2814,Peroxiredoxin-2 ,1,I-14,P32119
2815,Elongation factor 2 ,1,I-14,P13639
2816,Immunoglobulin heavy variable 5-10-1 ,1,I-14,A0A0J9YXX1
2817,ELAV-like protein 1 ,1,I-14,Q15717
2818,Immunoglobulin heavy variable 3-30-5 ,1,I-14,P0DP03
2819,40S ribosomal protein S21 ,0,I-14,P63220
2820,40S ribosomal protein S25 ,0,I-14,P62851
2821,40S ribosomal protein S6 ,0,I-14,P62753
2822,Alpha-amylase 2B ,0,I-14,P19961
2823,Aspartate aminotransferase  cytoplasmic ,0,I-14,P17174
2824,ATP synthase F(0) complex subunit C3  mitochondrial ,0,I-14,P48201
2825,C4b-binding protein beta chain ,0,I-14,P20851
2826,Calpain-1 catalytic subunit ,0,I-14,P07384
2827,Coiled-coil domain-containing protein 174 ,0,I-14,Q6PII3
2828,Cytosolic 5'-nucleotidase 3A ,0,I-14,Q9H0P0
2829,Disco-interacting protein 2 homolog B ,0,I-14,Q9P265
2830,DNA repair protein REV1 ,0,I-14,Q9UBZ9
2831,Double-stranded RNA-specific editase 1 ,0,I-14,P78563
2832,Dual specificity protein phosphatase CDC14A ,0,I-14,Q9UNH5
2833,Filamin-C ,0,I-14,Q14315
2834,Glucosylceramide transporter ABCA12 ,0,I-14,Q86UK0
2835,Heat shock 70kDa protein 9B (Mortalin-2) ,0,I-14,H0Y8K0
2836,Kinesin-like protein KIF21A ,0,I-14,Q7Z4S6
2837,MICAL-like protein 1 ,0,I-14,Q8N3F8
2838,Myosin-9 ,0,I-14,P35579
2839,Nephrocystin-4 ,0,I-14,O75161
2840,Non-histone chromosomal protein HMG-17 ,0,I-14,P05204
2841,Partitioning defective 3 homolog ,0,I-14,Q8TEW0
2842,PAX-interacting protein 1 ,0,I-14,Q6ZW49
2843,Phosphatidylinositol 3 4 5-trisphosphate-dependent Rac exchanger 1 protein ,0,I-14,Q8TCU6
2844,Protein FAM83G ,0,I-14,A6ND36
2845,Protein phosphatase 1 regulatory inhibitor subunit 16B ,0,I-14,Q96T49
2846,Serpin B12 ,0,I-14,Q96P63
2847,SKI/DACH domain-containing protein 1 ,0,I-14,Q1XH10
2848,Small ubiquitin-related modifier 2 ,0,I-14,P61956
2849,Transketolase ,0,I-14,P51854
2850,Transthyretin ,0,I-14,P02766
2851,Tryptophan--tRNA ligase  ,0,I-14,Q9UGM6
2852,Tyrosine-protein kinase ABL1 ,0,I-14,P00519
2853,Tyrosine-protein kinase ABL2 ,0,I-14,P42684
2854,Zinc finger protein 445 ,0,I-14,P59923
2855,Zinc finger protein castor homolog 1 ,0,I-14,Q86V15
2856,Adapter SH3BGRL ,0,I-14,O75368
2857,ATP-binding cassette sub-family F member 1 ,0,I-14,Q8NE71
2858,Clathrin heavy chain 2 ,0,I-14,P53675
2859,Cohesin subunit SA-3 ,0,I-14,Q9UJ98
2860,Histone H2B type 1-A ,0,I-14,Q96A08
2861,Histone H2B type 2-K1 ,0,I-14,A0A2R8Y619
2862,Midasin ,0,I-14,Q9NU22
2863,POTE ankyrin domain family member F,0,I-14,A5A3E0
2864,Phosphate carrier protein  mitochondrial ,0,I-14,Q00325
2865,Protein Shroom2 ,0,I-14,Q13796
2866,Protein-glutamine gamma-glutamyltransferase K ,0,I-14,P22735
2867,Pyruvate kinase PKM ,0,I-14,P14618
2868,Small proline-rich protein 2G ,0,I-14,Q9BYE4
2869,Small ubiquitin-related modifier 3 ,0,I-14,P55854
2870,Suprabasin ,0,I-14,Q6UWP8
2871,Syndetin ,0,I-14,Q96JG6
2872,Tubulin alpha-3D chain ,0,I-14,P0DPH8
2873,Ubiquitin carboxyl-terminal hydrolase 32 ,0,I-14,Q8NFA0
2874,Vesicle-fusing ATPase ,0,I-14,P46459
2875,Vimentin ,0,I-14,P08670
2876,Alpha-fetoprotein ,0,I-14,P02771
2877,Coagulation factor X ,0,I-14,P00742
2878,Immunoglobulin lambda variable 9-49 ,0,I-14,A0A0B4J1Y8
2879,10 kDa heat shock protein  mitochondrial ,0,I-14,P61604
2880,Adenosylhomocysteinase ,0,I-14,P23526
2881,Diphosphoinositol polyphosphate phosphohydrolase 2 ,0,I-14,Q9NZJ9
2882,Dynein axonemal heavy chain 1 ,0,I-14,Q9P2D7
2883,GTP-binding nuclear protein Ran ,0,I-14,P62826
2884,HCG40295 ,0,I-14,F6WE04
2885,Heat shock 70 kDa protein 6 ,0,I-14,P17066
2886,Histone acetyltransferase KAT6B ,0,I-14,Q8WYB5
2887,Isocitrate dehydrogenase [NAD] subunit alpha  mitochondrial ,0,I-14,P50213
2888,Isocitrate dehydrogenase [NADP] cytoplasmic ,0,I-14,O75874
2889,Nebulin ,0,I-14,P20929
2890,Prohibitin ,0,I-14,P35232
2891,Protein disulfide-isomerase A3 ,0,I-14,P30101
2892,Protein FAM135A ,0,I-14,Q9P2D6
2893,Ras-related protein Rab-5A ,0,I-14,P20339
2894,Talin-2 ,0,I-14,Q9Y4G6
2895,C1q domain-containing protein,0,I-14,Q6IMN6
2896,Retinol-binding protein 4 ,0,I-14,P02753
2897,IgGFc-binding protein ,0,I-14,Q9Y6R7
2898,Glial fibrillary acidic protein  ,0,I-14,P14136
2899,HAUS augmin-like complex subunit 3 ,0,I-14,Q68CZ6
2900,Heat shock 70 kDa protein 1A ,0,I-14,P0DMV8
2901,Histone H2B type 3-B ,0,I-14,Q8N257
2902,Immunoglobulin lambda variable 1-44 ,0,I-14,P01699
2903,Interleukin-1 receptor accessory protein ,0,I-14,Q9NZN1
2904,Protein S100-A7 ,0,I-14,P31151
2905,Tumor protein D52 ,0,I-14,P55327
2906,Zinc finger MYND domain-containing protein 11 ,0,I-14,Q15326
2907,Aspartate aminotransferase  mitochondrial ,0,I-14,P00505
2908,ATP synthase F(0) complex subunit C1  mitochondrial ,0,I-14,P05496
2909,ATP synthase F(0) complex subunit C2  mitochondrial ,0,I-14,Q06055
2910,ATP-binding cassette sub-family G member 4 ,0,I-14,Q9H172
2911,Chondroitin sulfate synthase 3 ,0,I-14,Q70JA7
2912,Fibrinogen beta chain ,0,I-14,P02675
2913,Fructose-bisphosphate aldolase A ,0,I-14,P04075
2914,Gamma-enolase ,0,I-14,P09104
2915,Histone H2B type 1-B ,0,I-14,P33778
2916,Histone H2B type 2-E ,0,I-14,Q16778
2917,Immunoglobulin heavy variable 2-70D ,0,I-14,A0A0C4DH43
2918,Immunoglobulin kappa joining 1 ,0,I-14,A0A0A0MT89
2919,Microtubule-associated serine/threonine-protein kinase 3 ,0,I-14,O60307
2920,POTE ankyrin domain family member I,0,I-14,P0CG38
2921,Ras-related protein Rab-5C ,0,I-14,P51148
2922,S-adenosylmethionine synthase ,0,I-14,P31153
2923,Serine/arginine-rich splicing factor 3 ,0,I-14,P84103
2924,Small nuclear ribonucleoprotein Sm D3 ,0,I-14,P62318
2925,T-complex protein 1 subunit theta ,0,I-14,Q96SF2
2926,Calmodulin-like protein 5 ,0,I-14,Q9NZT1
2927,Chloride intracellular channel protein 1 ,0,I-14,O00299
2928,Inactive pancreatic lipase-related protein 1 ,0,I-14,P54315
2929,Methyl-CpG-binding domain protein 5 ,0,I-14,Q9P267
2930,Myelin expression factor 2 ,0,I-14,Q9P2K5
2931,Proline-rich protein 36 ,0,I-14,Q9H6K5
2932,RPL22 ,0,I-14,P35268
2933,Tubulin beta-4B chain ,0,I-14,P68371
2934,Ubiquitin-protein ligase E3B ,0,I-14,Q7Z3V4
2935,Bridge-like lipid transfer protein family member 2  ,0,I-14,Q14667
2936,Dynein regulatory complex protein 10 ,0,I-14,Q96DY2
2937,Fructose-bisphosphate aldolase ,0,I-14,P05062
2938,Glutamine synthetase ,0,I-14,P15104
2939,Hypoxia-inducible factor 3-alpha ,0,I-14,Q9Y2N7
2940,Polyadenylate-binding protein ,0,I-14,Q4VXU2
2941,Pyruvate kinase ,0,I-14,P30613
2942,Ras-related protein Rab-5B ,0,I-14,P61020
2943,26S proteasome regulatory subunit 4 ,0,I-14,P62191
2944,Aconitate hydratase  mitochondrial ,0,I-14,Q99798
2945,Hemoglobin subunit beta ,0,I-14,P68871
2946,MAP kinase-activating death domain protein ,0,I-14,Q8WXG6
2947,Myosin light polypeptide 6 ,0,I-14,P60660
2948,Prolactin-inducible protein ,0,I-14,P12273
2949,Rho family-interacting cell polarization regulator 1 ,0,I-14,Q6ZS17
2950,Ribosome biogenesis protein SPATA5 ,0,I-14,Q8NB90
2951,Serpin B3 ,0,I-14,P29508
2952,Tubby protein homolog ,0,I-14,P50607
2953,Uncharacterized protein KIAA0825 ,0,I-14,Q8IV33
2954,Zymogen granule protein 16 homolog B ,0,I-14,Q96DA0
2955,Four and a half LIM domains protein 1  ,0,I-14,Q13642
2956,Immunoglobulin heavy variable 2-70 ,0,I-14,P01814
2957,Mucin-19 ,0,I-14,Q7Z5P9
2958,Perilipin-3 ,0,I-14,O60664
2959,Proline-serine-threonine phosphatase-interacting protein 2 ,0,I-14,Q9H939
2960,Acyl-coenzyme A thioesterase 8 ,0,I-14,O14734
2961,Cystatin-B ,0,I-14,P04080
2962,Moesin ,0,I-14,P26038
2963,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha ,0,I-14,O00443
2964,Tubby-like protein ,0,I-14,O00294
2965,Apolipoprotein C-II ,0,I-14,P02655
2966,Beta-enolase ,0,I-14,P13929
2967,Citrate synthase  ,0,I-14,O75390
2968,Ezrin ,0,I-14,P15311
2969,Nesprin-2 ,0,I-14,Q8WXH0
2970,Protein unc-80 homolog ,0,I-14,Q8N2C7
2971,Protocadherin Fat 4 ,0,I-14,Q6V0I7
2972,Retroviral-like aspartic protease 1 ,0,I-14,Q53RT3
2973,Tryptophan--tRNA ligase  cytoplasmic ,0,I-14,P23381
2974,Extracellular matrix protein 1 ,0,I-14,Q16610
2975,EH domain-binding protein 1-like protein 1 ,0,I-14,Q8N3D4
2976,FERM and PDZ domain-containing protein 1 ,0,I-14,Q5SYB0
2977,Sulfhydryl oxidase 1 ,0,I-14,O00391
2978,Collagen alpha-2(XI) chain ,0,I-14,P13942
2979,Glycine--tRNA ligase ,0,I-14,P41250
2980,Protein SON,0,I-14,P18583
2981,TSC22 domain family protein 2 ,0,I-14,O75157
2982,Tubulin beta-8 chain ,0,I-14,Q3ZCM7
2983,Stress-70 protein  mitochondrial ,0,I-14,P38646
2984,Dedicator of cytokinesis protein 1 ,0,I-14,Q14185
2985,Immunoglobulin heavy variable 3-73 ,0,I-14,A0A0B4J1V6
2986,Immunoglobulin heavy variable 3-64 ,0,I-14,A0A075B6Q5
2987,Proline/serine-rich coiled-coil protein 1 ,0,I-14,Q6PGN9
2988,SERPIN domain-containing protein  ,0,I-14,A8MTL9
2989,Deleted in malignant brain tumors 1 protein ,0,I-14,Q9UGM3
2990,Immunoglobulin lambda variable 1-40 ,0,I-14,P01703
2991,NCK-interacting protein with SH3 domain ,0,I-14,Q9NZQ3
2992,Submaxillary gland androgen-regulated protein 3B ,0,I-14,P02814
2993,T-complex protein 1 subunit gamma ,0,I-14,P49368
2994,Clathrin coat assembly protein AP180 ,0,I-14,O60641
2995,78 kDa glucose-regulated protein ,0,I-14,P11021
2996,Bleomycin hydrolase ,0,I-14,Q13867
2997,Immunoglobulin kappa variable 3D-15 ,0,I-14,A0A087WSY6
2998,Protein S100-A9 ,0,I-14,P06702
2999,Ras-related protein Rab-7a ,0,I-14,P51149
3000,DNA replication licensing factor MCM4 ,0,I-14,P33991
3001,Fibrinogen alpha chain ,0,I-14,P02671
3002,Protein S100-A8 ,0,I-14,P05109
3003,Fermitin family homolog 3 ,0,I-14,Q86UX7
3004,Fibrinogen gamma chain ,0,I-14,P02679
3005,26S proteasome regulatory subunit 8 ,0,I-14,P62195
3006,Propionyl-CoA carboxylase beta chain  mitochondrial ,0,I-14,P05166
3007,Immunoglobulin kappa variable 6-21 ,0,I-14,A0A0C4DH24
3008,14-3-3 protein zeta/delta ,0,I-14,P63104
3009,Immunoglobulin lambda variable 3-19 ,0,I-14,P01714
3010,POTE ankyrin domain family member E,0,I-14,Q6S8J3
3011,Putative beta-actin-like protein 3 ,0,I-14,Q9BYX7
3012,Protein disulfide-isomerase ,0,I-14,Q14554
3013,Phosphoglycerate kinase 1 ,0,I-14,P00558
3014,Talin-1 ,0,I-14,Q9Y490
3015,Tetratricopeptide repeat protein 39A ,0,I-14,Q5SRH9
3016,Complement component C8 gamma chain ,0,I-14,P07360
3017,Profilin-1 ,0,I-14,P07737
3018,Hemicentin-2 ,0,I-14,Q8NDA2
3019,Eukaryotic initiation factor 4A-I ,0,I-14,P60842
3020,Glutathione peroxidase 3 ,0,I-14,P22352
3021,RNA helicase ,0,I-14,Q14562
3022,Glutathione S-transferase ,0,I-14,O15217
3023,Glutathione S-transferase P ,0,I-14,P09211
3024,GTP-binding protein SAR1a ,0,I-14,Q9NR31
3025,14-3-3 protein sigma ,0,I-14,P31947
3026,60S ribosomal protein L22 ,0,I-14,Q6P5R6
3027,ATP-binding cassette sub-family B member 5 ,0,I-14,Q2M3G0
3028,Phosphatidylcholine translocator ABCB4 ,0,I-14,P21439
3029,40S ribosomal protein S8 ,0,I-14,P62241
3030,GTP-binding protein SAR1b ,0,I-14,Q9Y6B6
3031,Heterogeneous nuclear ribonucleoprotein A1 ,0,I-14,A0A2R8Y4L2
3032,Tubulin beta-4A chain ,0,I-14,P04350
3033,Immunoglobulin kappa variable 1-9 ,0,I-14,A0A0C4DH69
3034,Dystonin ,0,I-14,Q03001
3035,Radixin ,0,I-14,P35241
3036,BPI fold-containing family B member 1 ,0,I-14,Q8TDL5
3037,Properdin ,0,I-14,P27918
3038,Eukaryotic initiation factor 4A-II ,0,I-14,Q14240
3039,Probable non-functional immunoglobulin heavy variable 3-35 ,1,I-14,A0A0C4DH35
3040,Immunoglobulin heavy variable 4-31 ,0,I-14,P0DP07
3041,Immunoglobulin heavy variable 4-30-2 ,0,I-14,A0A087WSY4
3042,Elongation factor 1-delta ,0,I-14,P29692
3043,Sushi domain-containing protein,0,I-14,Q6UWL2
3044,Immunoglobulin kappa variable 1D-12 ,0,I-14,P01611
3045,Immunoglobulin heavy variable 4-59 ,0,I-14,P01825
3046,Immunoglobulin heavy variable 4-34 ,0,I-14,P06331
3047,Immunoglobulin heavy variable 4-61 ,0,I-14,A0A0C4DH41
3048,TAR DNA-binding protein 43 ,0,I-14,Q13148
3049,Immunoglobulin heavy variable 3-53 ,0,I-14,P01767
3050,Immunoglobulin heavy variable 4-30-4 ,0,I-14,P0DP06
3051,ATP synthase subunit beta  mitochondrial ,0,I-14,P06576
3052,Immunoglobulin heavy variable 3-66 ,0,I-14,A0A0C4DH42
3053,Immunoglobulin kappa variable 1-12 ,0,I-14,A0A0C4DH73
3054,Immunoglobulin lambda variable 3-9 ,0,I-14,A0A075B6K5
3055,Immunoglobulin heavy variable 3-11 ,0,I-14,P01762
3056,Heat shock protein beta-1 ,0,I-14,P04792
3057,Immunoglobulin kappa variable 2-28 ,0,I-14,A0A075B6P5
3058,Immunoglobulin kappa variable 2D-26 ,0,I-14,A0A0A0MRZ7
3059,Immunoglobulin kappa variable 2D-28 ,0,I-14,P01615
3060,Immunoglobulin lambda constant 6 ,0,I-14,P0CF74
3061,Immunoglobulin lambda variable 3-25 ,1,I-14,P01717
3062,Immunoglobulin heavy variable 2-26 ,0,I-14,A0A0B4J1V2
3063,Immunoglobulin lambda variable 8-61 ,0,I-14,A0A075B6I0
3064,Leucine-rich alpha-2-glycoprotein ,0,I-14,P02750
3065,Cholesteryl ester transfer protein ,0,I-14,P11597
3066,Immunoglobulin kappa variable 6D-21 ,0,I-14,A0A0A0MT36
3067,Immunoglobulin lambda variable 2-18 ,0,I-14,A0A075B6J9
3068,Immunoglobulin heavy variable 4-28 ,0,I-14,A0A0C4DH34
3069,Immunoglobulin lambda variable 6-57 ,0,I-14,P01721
3070,SH3 and multiple ankyrin repeat domains protein 1 ,0,I-14,Q9Y566
3071,Apolipoprotein M ,0,I-14,O95445
3072,Adiponectin ,0,I-14,Q86V24
3073,Immunoglobulin heavy variable 1-24 ,0,I-14,A0A0C4DH33
3074,Uncharacterized protein ZSWIM9 ,0,I-14,Q86XI8
3075,Apolipoprotein A-II ,0,I-14,P02652
3076,Alpha-1-acid glycoprotein 2 ,0,I-14,P19652
3077,Immunoglobulin kappa variable 2-24 ,0,I-14,A0A0C4DH68
3078,Complement factor D ,0,I-14,P00746
3079,Immunoglobulin kappa variable 1D-16 ,0,I-14,P01601
3080,Immunoglobulin heavy variable 7-4-1 ,0,I-14,A0A0J9YVY3
3081,Beta-Ala-His dipeptidase ,0,I-14,Q96KN2
3082,Coagulation factor XIII A chain ,0,I-14,P00488
3083,Selenoprotein P ,0,I-14,P49908
3084,Coagulation factor IX ,0,I-14,P00740
3085,Transferrin receptor protein 1 ,0,I-14,P02786
3086,Probable non-functional immunoglobulin kappa variable 2D-24 ,0,I-14,A0A075B6R9
3087,Immunoglobulin lambda variable 1-51 ,0,I-14,P01701
3088,Pigment epithelium-derived factor ,0,I-14,P36955
3089,Immunoglobulin kappa variable 1-17 ,0,I-14,P01599
3090,Complement C1q subcomponent subunit C ,1,I-14,P02747
3091,Galectin-3-binding protein ,0,I-14,A6NE02
3092,Immunoglobulin kappa variable 2D-30 ,0,I-14,A0A075B6S6
3093,Immunoglobulin kappa variable 2D-29 ,0,I-14,A0A075B6S2
3094,Immunoglobulin kappa variable 2-29 ,0,I-14,A2NJV5
3095,Immunoglobulin kappa variable 1D-33 ,1,I-14,P01593
3096,Immunoglobulin kappa variable 1-33 ,1,I-14,P01594
3097,Immunoglobulin kappa variable 1D-8 ,0,I-14,A0A087WSZ0
3098,Coagulation factor XIII B chain ,0,I-14,P05160
3099,Immunoglobulin kappa variable 1-5 ,0,I-14,P01602
3100,Immunoglobulin kappa variable 2-30 ,0,I-14,P06310
3101,Immunoglobulin kappa variable 1-13 ,0,I-14,P0DP09
3102,Immunoglobulin kappa variable 1D-13 ,0,I-14,A0A0B4J2D9
3103,Complement C1s subcomponent ,0,I-14,P09871
3104,Complement C1q subcomponent subunit A ,0,I-14,P02745
3105,Immunoglobulin heavy variable 3-20 ,0,I-14,A0A0C4DH32
3106,Immunoglobulin lambda-like polypeptide 1 ,0,I-14,P15814
3107,Alpha-1-acid glycoprotein 1 ,0,I-14,P02763
3108,Complement component C7 ,0,I-14,P10643
3109,Immunoglobulin kappa variable 2-40 ,0,I-14,A0A087WW87
3110,Immunoglobulin kappa variable 2D-40 ,0,I-14,P01614
3111,Complement C1r subcomponent-like protein ,0,I-14,Q9NZP8
3112,Fibulin-1 ,0,I-14,P23142
3113,Protein AMBP ,0,I-14,P02760
3114,Zinc-alpha-2-glycoprotein ,0,I-14,P25311
3115,Immunoglobulin heavy variable 3-74 ,0,I-14,A0A0B4J1X5
3116,Ficolin-3 ,0,I-14,O75636
3117,Immunoglobulin heavy variable 3-43D ,0,I-14,P0DP04
3118,Complement C2 ,0,I-14,P06681
3119,Complement factor H-related protein 2 ,0,I-14,P36980
3120,Corticosteroid-binding globulin ,0,I-14,P08185
3121,Immunoglobulin heavy variable 3-30-3 ,1,I-14,P0DP02
3122,Serum paraoxonase/arylesterase 1 ,0,I-14,P27169
3123,Immunoglobulin heavy variable 3-33 ,1,I-14,P01772
3124,Immunoglobulin heavy variable 3-21 ,0,I-14,A0A0B4J1V1
3125,Lumican ,0,I-14,P51884
3126,Coagulation factor XII ,0,I-14,P00748
3127,Immunoglobulin heavy variable 3-72 ,0,I-14,A0A0B4J1Y9
3128,Thyroxine-binding globulin ,0,I-14,P05543
3129,Inter-alpha-trypsin inhibitor heavy chain H2 ,1,I-14,P19823
3130,Complement factor I ,0,I-14,P05156
3131,Alpha-2-antiplasmin ,0,I-14,P08697
3132,Plasma protease C1 inhibitor ,0,I-14,P05155
3133,Vitamin K-dependent protein S ,0,I-14,P07225
3134,Collagen alpha-1(XII) chain ,0,I-14,Q99715
3135,Immunoglobulin lambda constant 7 ,0,I-14,A0M8Q6
3136,ITIH4 protein ,1,I-14,Q14624
3137,Alpha-1-antichymotrypsin ,1,I-14,P01011
3138,Hemopexin ,1,I-14,P02790
3139,Complement C4-B ,1,I-14,P0C0L5
3140,Alpha-1-antitrypsin ,1,I-14,P20848
3141,Immunoglobulin heavy constant gamma 1 ,1,I-14,P01857
3142,Thrombospondin-1 ,0,I-14,P07996
3143,Apolipoprotein F ,0,I-14,Q13790
3144,Immunoglobulin heavy variable 1-3 ,0,I-14,A0A0C4DH29
3145,Apolipoprotein B-100 ,1,I-14,P04114
3146,Plasma serine protease inhibitor ,0,I-14,P05154
3147,Immunoglobulin J chain ,1,I-14,P01591
3148,Apolipoprotein L1 ,0,I-14,O14791
3149,Phosphatidylcholine-sterol acyltransferase ,0,I-14,P04180
3150,Protein Z-dependent protease inhibitor ,0,I-14,Q9UK55
3151,Complement component C9 ,0,I-14,P02748
3152,Immunoglobulin heavy variable 3-7 ,1,I-14,P01780
3153,CD5 antigen-like ,0,I-14,O43866
3154,Immunoglobulin lambda variable 3-10 ,1,I-14,A0A075B6K4
3155,Probable non-functional immunoglobulinn kappa variable 1D-37 ,0,I-14,P0DSN7
3156,Probable non-functional immunoglobulinn kappa variable 1-37 ,0,I-14,A0A075B6S9
3157,Fetuin-B ,0,I-14,Q9UGM5
3158,Immunoglobulin heavy variable 1-8 ,0,I-14,P0DP01
3159,Carboxypeptidase B2 ,0,I-14,Q96IY4
3160,Phospholipid transfer protein ,0,I-14,P55058
3161,Immunoglobulin kappa variable 3-20 ,1,I-14,P01619
3162,Immunoglobulin heavy variable 1-46 ,0,I-14,P01743
3163,Haptoglobin ,1,I-14,P00738
3164,Immunoglobulin heavy variable 1-2 ,0,I-14,P23083
3165,Immunoglobulin heavy variable 1-69D ,0,I-14,A0A0B4J2H0
3166,Immunoglobulin kappa variable 1-6 ,0,I-14,A0A0C4DH72
3167,Gelsolin ,1,I-14,P06396
3168,Serum amyloid P-component ,0,I-14,P02743
3169,Immunoglobulin heavy variable 3-49 ,1,I-14,A0A0A0MS15
3170,Immunoglobulin kappa variable 3-11 ,0,I-14,P04433
3171,Lipopolysaccharide-binding protein ,0,I-14,P18428
3172,Immunoglobulin lambda variable 3-27 ,1,I-14,P01718
3173,Immunoglobulin heavy variable 1-69-2 ,0,I-14,A0A0G2JMI3
3174,Immunoglobulin heavy variable 1-18 ,0,I-14,A0A0C4DH31
3175,Beta-2-glycoprotein 1 ,1,I-14,P02749
3176,Immunoglobulin kappa variable 1-39 ,0,I-14,P01597
3177,Immunoglobulin kappa variable 1D-39 ,0,I-14,P04432
3178,Vitronectin ,1,I-14,P04004
3179,Kininogen-1 ,0,I-14,P01042
3180,Hepatocyte growth factor activator ,0,I-14,Q04756
3181,Immunoglobulin heavy variable 3-23 ,0,I-14,P01764
3182,Hyaluronan-binding protein 2 ,0,I-14,Q14520
3183,Immunoglobulin heavy constant alpha 1 ,1,I-14,P01876
3184,Plasma kallikrein ,0,I-14,P03952
3185,Complement C1r subcomponent ,0,I-14,P00736
3186,Angiotensinogen ,1,I-14,P01019
3187,Alpha-2-HS-glycoprotein ,0,I-14,P02765
3188,Complement component C6 ,0,I-14,P13671
3189,Immunoglobulin kappa variable 3D-20 ,1,I-14,A0A0C4DH25
3190,Immunoglobulin heavy constant mu ,1,I-14,P01871
3191,Immunoglobulin heavy variable 3-15 ,0,I-14,A0A0B4J1V0
3192,Immunoglobulin kappa variable 1-27 ,0,I-14,A0A075B6S5
3193,C4b-binding protein alpha chain ,0,I-14,P04003
3194,Plasminogen ,1,I-14,Q15195
3195,Immunoglobulin kappa variable 1-8 ,0,I-14,A0A0C4DH67
3196,Carboxypeptidase N subunit 2 ,0,I-14,P22792
3197,Immunoglobulin lambda variable 1-47 ,0,I-14,P01700
3198,Immunoglobulin kappa variable 1-16 ,0,I-14,P04430
3199,Complement factor B ,0,I-14,P00751
3200,Fibronectin ,1,I-14,Q9H6D8
3201,Immunoglobulin lambda constant 3 ,1,I-14,P0DOY3
3202,Immunoglobulin heavy variable 4-38-2 ,0,I-14,P0DP08
3203,Immunoglobulin heavy variable 3-9 ,1,I-14,P01782
3204,Immunoglobulin kappa variable 3/,0,I-14,A0A075B6H7
3205,Immunoglobulin kappa variable 3D-7 ,0,I-14,A0A0C4DH55
3206,Immunoglobulin heavy variable 4-4 ,0,I-14,A0A075B6R2
3207,Prothrombin ,1,I-14,P00734
3208,Kallistatin ,0,I-14,P29622
3209,Complement component C8 beta chain ,0,I-14,P07358
3210,Apolipoprotein D ,1,I-14,P05090
3211,Immunoglobulin lambda constant 2 ,1,I-14,P0DOY2
3212,Haptoglobin-related protein ,0,I-14,P00739
3213,N-acetylmuramoyl-L-alanine amidase ,0,I-14,Q96PD5
3214,Immunoglobulin lambda variable 3-21 ,1,I-14,P80748
3215,Antithrombin-III ,1,I-14,P01008
3216,Heparin cofactor 2 ,1,I-14,P05546
