,Protein,Abundance,Sample
3053,Tubulin alpha-3D chain ,0,I-14
3054,Ubiquitin carboxyl-terminal hydrolase 32 ,0,I-14
3055,Vesicle-fusing ATPase ,0,I-14
3056,Vimentin ,0,I-14
3057,Alpha-fetoprotein ,0,I-14
3058,Coagulation factor X ,0,I-14
3059,Immunoglobulin lambda variable 9-49 ,0,I-14
3060,10 kDa heat shock protein  mitochondrial ,0,I-14
3061,Adenosylhomocysteinase ,0,I-14
3062,ATP synthase lipid-binding protein ,0,I-14
3063,Citrate synthase  mitochondrial ,0,I-14
3064,Diphosphoinositol polyphosphate phosphohydrolase 2 ,0,I-14
3065,Dynein axonemal heavy chain 1 ,0,I-14
3066,GTP-binding nuclear protein Ran ,0,I-14
3067,HCG40295 ,0,I-14
3068,Heat shock 70 kDa protein 6 ,0,I-14
3069,Histone acetyltransferase KAT6B ,0,I-14
3070,Isocitrate dehydrogenase [NAD] subunit alpha  mitochondrial ,0,I-14
3071,Isocitrate dehydrogenase [NADP] cytoplasmic ,0,I-14
3072,Nebulin ,0,I-14
3073,Polyadenylate-binding protein 1-like ,0,I-14
3074,Prohibitin ,0,I-14
3075,Protein disulfide-isomerase A3 ,0,I-14
3076,Protein FAM135A ,0,I-14
3077,Ras-related protein Rab-5A ,0,I-14
3078,Talin-2 ,0,I-14
3079,C1q domain-containing protein,0,I-14
3080,Retinol-binding protein ,0,I-14
3081,Retinol-binding protein 4 ,0,I-14
3082,IgGFc-binding protein ,0,I-14
3083,Glial fibrillary acidic protein  ,0,I-14
3084,HAUS augmin-like complex subunit 3 ,0,I-14
3085,Heat shock 70 kDa protein 1A ,0,I-14
3086,Histone H2B type 3-B ,0,I-14
3087,Immunoglobulin lambda variable 1-44 ,0,I-14
3088,Interleukin-1 receptor accessory protein ,0,I-14
3089,Protein S100-A7 ,0,I-14
3090,Tumor protein D52 ,0,I-14
3091,Zinc finger MYND domain-containing protein 11 ,0,I-14
3092,Aspartate aminotransferase  mitochondrial ,0,I-14
3093,ATP synthase F(0) complex subunit C1  mitochondrial ,0,I-14
3094,ATP synthase F(0) complex subunit C2  mitochondrial ,0,I-14
3095,ATP-binding cassette sub-family G member 4 ,0,I-14
3096,Chondroitin sulfate synthase 3 ,0,I-14
3097,Fibrinogen beta chain ,0,I-14
3098,Fructose-bisphosphate aldolase A ,0,I-14
3099,Gamma-enolase ,0,I-14
3100,Histone H2B type 1-,0,I-14
3101,Histone H2B type 1-B ,0,I-14
3102,Histone H2B type 2-E ,0,I-14
3103,Immunoglobulin heavy variable 2-70D ,0,I-14
3104,Immunoglobulin kappa joining 1 ,0,I-14
3105,Microtubule-associated serine/threonine-protein kinase 3 ,0,I-14
3106,POTE ankyrin domain family member I,0,I-14
3107,Protein KIAA0100 ,0,I-14
3108,Ras-related protein Rab-5C ,0,I-14
3109,S-adenosylmethionine synthase ,0,I-14
3110,Serine/arginine-rich splicing factor 3 ,0,I-14
3111,Small nuclear ribonucleoprotein Sm D3 ,0,I-14
3112,T-complex protein 1 subunit theta ,0,I-14
3113,Calmodulin-like protein 5 ,0,I-14
3114,Chloride intracellular channel protein 1 ,0,I-14
3115,Histone H2B type 1-J ,0,I-14
3116,Inactive pancreatic lipase-related protein 1 ,0,I-14
3117,Methyl-CpG-binding domain protein 5 ,0,I-14
3118,Myelin expression factor 2 ,0,I-14
3119,Proline-rich protein 36 ,0,I-14
3120,RPL22 ,0,I-14
3121,Tubulin beta-4B chain ,0,I-14
3122,Ubiquitin-protein ligase E3B ,0,I-14
3123,Bridge-like lipid transfer protein family member 2  ,0,I-14
3124,Dynein regulatory complex protein 10 ,0,I-14
3125,Fructose-bisphosphate aldolase ,0,I-14
3126,Glutamine synthetase ,0,I-14
3127,Hypoxia-inducible factor 3-alpha ,0,I-14
3128,Polyadenylate-binding protein ,0,I-14
3129,Pyruvate kinase ,0,I-14
3130,Ras-related protein Rab-5B ,0,I-14
3131,SLIT-R,0,I-14
3132,26S proteasome regulatory subunit 4 ,0,I-14
3133,Aconitate hydratase  mitochondrial ,0,I-14
3134,Endoplasmic reticulum chaperone BiP ,0,I-14
3135,Hemoglobin subunit beta ,0,I-14
3136,MAP kinase-activating death domain protein ,0,I-14
3137,Myosin light polypeptide 6 ,0,I-14
3138,Non-specific serine/threonine protein kinase ,0,I-14
3139,Prolactin-inducible protein ,0,I-14
3140,Rho family-interacting cell polarization regulator 1 ,0,I-14
3141,Ribosome biogenesis protein SPATA5 ,0,I-14
3142,Serpin B3 ,0,I-14
3143,Tubby protein homolog ,0,I-14
3144,Uncharacterized protein KIAA0825 ,0,I-14
3145,Zymogen granule protein 16 homolog B ,0,I-14
3146,Four and a half LIM domains protein 1  ,0,I-14
3147,Immunoglobulin heavy variable 2-70 ,0,I-14
3148,Mucin-19 ,0,I-14
3149,Perilipin-3 ,0,I-14
3150,Proline-serine-threonine phosphatase-interacting protein 2 ,0,I-14
3151,Acyl-coenzyme A thioesterase 8 ,0,I-14
3152,Cystatin-B ,0,I-14
3153,Moesin ,0,I-14
3154,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha ,0,I-14
3155,Tubby-like protein ,0,I-14
3156,Apolipoprotein C-II ,0,I-14
3157,Beta-enolase ,0,I-14
3158,Citrate synthase  ,0,I-14
3159,Ezrin ,0,I-14
3160,Nesprin-2 ,0,I-14
3161,Protein unc-80 homolog ,0,I-14
3162,Protocadherin Fat 4 ,0,I-14
3163,Retroviral-like aspartic protease 1 ,0,I-14
3164,Tryptophan--tRNA ligase  cytoplasmic ,0,I-14
3165,Extracellular matrix protein 1 ,0,I-14
3166,EH domain-binding protein 1-like protein 1 ,0,I-14
3167,FERM and PDZ domain-containing protein 1 ,0,I-14
3168,Sulfhydryl oxidase 1 ,0,I-14
3169,Collagen alpha-2(XI) chain ,0,I-14
3170,Glycine--tRNA ligase ,0,I-14
3171,Protein SON,0,I-14
3172,TSC22 domain family protein 2 ,0,I-14
3173,Tubulin beta-8 chain ,0,I-14
3174,Stress-70 protein  mitochondrial ,0,I-14
3175,Dedicator of cytokinesis protein 1 ,0,I-14
3176,Immunoglobulin heavy variable 3-73 ,0,I-14
3177,Immunoglobulin heavy variable 3-64 ,0,I-14
3178,Proline/serine-rich coiled-coil protein 1 ,0,I-14
3179,SERPIN domain-containing protein  ,0,I-14
3180,Deleted in malignant brain tumors 1 protein ,0,I-14
3181,Immunoglobulin lambda variable 1-40 ,0,I-14
3182,NCK-interacting protein with SH3 domain ,0,I-14
3183,Submaxillary gland androgen-regulated protein 3B ,0,I-14
3184,T-complex protein 1 subunit gamma ,0,I-14
3185,Clathrin coat assembly protein AP180 ,0,I-14
3186,78 kDa glucose-regulated protein ,0,I-14
3187,Bleomycin hydrolase ,0,I-14
3188,Immunoglobulin kappa variable 3D-15 ,0,I-14
3189,Protein S100-A9 ,0,I-14
3190,Immunoglobulin kappa variable 1/,0,I-14
3191,Ras-related protein Rab-7a ,0,I-14
3192,DNA replication licensing factor MCM4 ,0,I-14
3193,Fibrinogen alpha chain ,0,I-14
3194,Protein S100-A8 ,0,I-14
3195,Fermitin family homolog 3 ,0,I-14
3196,Fibrinogen gamma chain ,0,I-14
3197,26S proteasome regulatory subunit 8 ,0,I-14
3198,Propionyl-CoA carboxylase beta chain  mitochondrial ,0,I-14
3199,Immunoglobulin kappa variable 6-21 ,0,I-14
3200,14-3-3 protein zeta/delta ,0,I-14
3201,Immunoglobulin lambda variable 3-19 ,0,I-14
3202,POTE ankyrin domain family member E,0,I-14
3203,Putative beta-actin-like protein 3 ,0,I-14
3204,Protein disulfide-isomerase ,0,I-14
3205,Phosphoglycerate kinase 1 ,0,I-14
3206,Talin-1 ,0,I-14
3207,Tetratricopeptide repeat protein 39A ,0,I-14
3208,Complement component C8 gamma chain ,0,I-14
3209,Profilin ,0,I-14
3210,Profilin-1 ,0,I-14
3211,Hemicentin-2 ,0,I-14
3212,Eukaryotic initiation factor 4A-I ,0,I-14
3213,Glutathione peroxidase 3 ,0,I-14
3214,RNA helicase ,0,I-14
3215,Glutathione S-transferase ,0,I-14
3216,Glutathione S-transferase P ,0,I-14
3217,GTP-binding protein SAR1a ,0,I-14
3218,Immunoglobulin heavy variable 1-69 ,0,I-14
3219,14-3-3 protein sigma ,0,I-14
3220,60S ribosomal protein L22 ,0,I-14
3221,ATP-binding cassette sub-family B member 5 ,0,I-14
3222,Phosphatidylcholine translocator ABCB4 ,0,I-14
3223,40S ribosomal protein S8 ,0,I-14
3224,GTP-binding protein SAR1b ,0,I-14
3225,Heterogeneous nuclear ribonucleoprotein A1 ,0,I-14
3226,Tubulin beta-4A chain ,0,I-14
3227,Immunoglobulin kappa variable 1-9 ,0,I-14
3228,Dystonin ,0,I-14
3229,Radixin ,0,I-14
3230,BPI fold-containing family B member 1 ,0,I-14
3231,Properdin ,0,I-14
3232,Eukaryotic initiation factor 4A-II ,0,I-14
3233,Probable non-functional immunoglobulin heavy variable 3-35 ,1,I-14
3234,Immunoglobulin heavy variable 4-31 ,0,I-14
3235,Immunoglobulin heavy variable 4-30-2 ,0,I-14
3236,Elongation factor 1-delta ,0,I-14
3237,Sushi domain-containing protein,0,I-14
3238,ATP synthase subunit beta  ,0,I-14
3239,Immunoglobulin kappa variable 1D-12 ,0,I-14
3240,Immunoglobulin heavy variable 4-59 ,0,I-14
3241,Immunoglobulin heavy variable 4-34 ,0,I-14
3242,Immunoglobulin heavy variable 4-61 ,0,I-14
3243,TAR DNA-binding protein 43 ,0,I-14
3244,Immunoglobulin heavy variable 3-53 ,0,I-14
3245,Immunoglobulin heavy variable 4-30-4 ,0,I-14
3246,ATP synthase subunit beta  mitochondrial ,0,I-14
3247,Immunoglobulin heavy variable 3-66 ,0,I-14
3248,Immunoglobulin kappa variable 1-12 ,0,I-14
3249,Immunoglobulin lambda variable 3-9 ,0,I-14
3250,Immunoglobulin heavy variable 3-11 ,0,I-14
3251,Heat shock protein beta-1 ,0,I-14
3252,Immunoglobulin kappa variable 2-28 ,0,I-14
3253,Immunoglobulin kappa variable 2D-26 ,0,I-14
3254,Immunoglobulin kappa variable 2D-28 ,0,I-14
3255,Immunoglobulin lambda constant 6 ,0,I-14
3256,Immunoglobulin lambda variable 3-25 ,1,I-14
3257,Immunoglobulin heavy variable 1/,0,I-14
3258,Immunoglobulin heavy variable 2-26 ,0,I-14
3259,Immunoglobulin lambda variable 8-61 ,0,I-14
3260,Leucine-rich alpha-2-glycoprotein ,0,I-14
3261,Cholesteryl ester transfer protein ,0,I-14
3262,Immunoglobulin kappa variable 6D-21 ,0,I-14
3263,Immunoglobulin lambda variable 2-18 ,0,I-14
3264,Immunoglobulin heavy variable 4-28 ,0,I-14
3265,Immunoglobulin lambda variable 6-57 ,0,I-14
3266,SH3 and multiple ankyrin repeat domains protein 1 ,0,I-14
3267,Apolipoprotein M ,0,I-14
3268,Adiponectin ,0,I-14
3269,Immunoglobulin heavy variable 1-24 ,0,I-14
3270,Uncharacterized protein ZSWIM9 ,0,I-14
3271,Apolipoprotein A-II ,0,I-14
3272,Alpha-1-acid glycoprotein 2 ,0,I-14
3273,Immunoglobulin kappa variable 2-24 ,0,I-14
3274,Complement factor D ,0,I-14
3275,Immunoglobulin kappa variable 1D-16 ,0,I-14
3276,Immunoglobulin heavy variable 7-4-1 ,0,I-14
3277,Beta-Ala-His dipeptidase ,0,I-14
3278,Coagulation factor XIII A chain ,0,I-14
3279,Selenoprotein P ,0,I-14
3280,Coagulation factor IX ,0,I-14
3281,Transferrin receptor protein 1 ,0,I-14
3282,Probable non-functional immunoglobulin kappa variable 2D-24 ,0,I-14
3283,Immunoglobulin lambda variable 1-51 ,0,I-14
3284,Pigment epithelium-derived factor ,0,I-14
3285,Immunoglobulin kappa variable 1-17 ,0,I-14
3286,Complement C1q subcomponent subunit C ,1,I-14
3287,Galectin-3-binding protein ,0,I-14
3288,Immunoglobulin kappa variable 2D-30 ,0,I-14
3289,Immunoglobulin kappa variable 2D-29 ,0,I-14
3290,Immunoglobulin kappa variable 2-29 ,0,I-14
3291,Immunoglobulin kappa variable 1D-33 ,1,I-14
3292,Immunoglobulin kappa variable 1-33 ,1,I-14
3293,Immunoglobulin kappa variable 1D-8 ,0,I-14
3294,Coagulation factor XIII B chain ,0,I-14
3295,Immunoglobulin kappa variable 1-5 ,0,I-14
3296,Immunoglobulin kappa variable 2-30 ,0,I-14
3297,Immunoglobulin kappa variable 1-13 ,0,I-14
3298,Immunoglobulin kappa variable 1D-13 ,0,I-14
3299,Complement C1s subcomponent ,0,I-14
3300,Complement C1q subcomponent subunit A ,0,I-14
3301,Immunoglobulin heavy variable 3-20 ,0,I-14
3302,Immunoglobulin lambda-like polypeptide 1 ,0,I-14
3303,Alpha-1-acid glycoprotein 1 ,0,I-14
3304,Complement component C7 ,0,I-14
3305,Immunoglobulin kappa variable 2-40 ,0,I-14
3306,Immunoglobulin kappa variable 2D-40 ,0,I-14
3307,Complement C1r subcomponent-like protein ,0,I-14
3308,Fibulin-1 ,0,I-14
3309,Protein AMBP ,0,I-14
3310,Zinc-alpha-2-glycoprotein ,0,I-14
3311,Immunoglobulin heavy variable 3-74 ,0,I-14
3312,Ficolin-3 ,0,I-14
3313,Probable non-functional immunoglobulin kappa variable 3-7 ,0,I-14
3314,Immunoglobulin heavy variable 3-43D ,0,I-14
3315,C3/C5 convertase ,0,I-14
3316,Complement C2 ,0,I-14
3317,Complement factor H-related protein 2 ,0,I-14
3318,Corticosteroid-binding globulin ,0,I-14
3319,Immunoglobulin heavy variable 3-30-3 ,0,I-14
3320,Serum paraoxonase/arylesterase 1 ,0,I-14
3321,Immunoglobulin heavy variable 3-33 ,0,I-14
3322,Immunoglobulin heavy variable 3-21 ,0,I-14
3323,Lumican ,0,I-14
3324,Coagulation factor XII ,0,I-14
3325,Immunoglobulin heavy variable 3-72 ,0,I-14
3326,Thyroxine-binding globulin ,0,I-14
3327,Inter-alpha-trypsin inhibitor heavy chain H2 ,1,I-14
3328,Complement factor I ,0,I-14
3329,Alpha-2-antiplasmin ,0,I-14
3330,Plasma protease C1 inhibitor ,0,I-14
3331,Vitamin K-dependent protein S ,0,I-14
3332,Collagen alpha-1(XII) chain ,0,I-14
3333,Immunoglobulin lambda constant 7 ,0,I-14
3334,ITIH4 protein ,0,I-14
3335,Alpha-1-antichymotrypsin ,0,I-14
3336,Hemopexin ,0,I-14
3337,Complement C4-B ,0,I-14
3338,Inter-alpha-trypsin inhibitor heavy chain H4 ,0,I-14
3339,Alpha-1-antitrypsin ,0,I-14
3340,Immunoglobulin heavy constant gamma 1 ,0,I-14
3341,Thrombospondin-1 ,0,I-14
3342,Apolipoprotein F ,0,I-14
3343,Immunoglobulin heavy variable 1-3 ,0,I-14
3344,Apolipoprotein A-I ,1,I-14
3345,Apolipoprotein B-100 ,1,I-14
3346,Plasma serine protease inhibitor ,0,I-14
3347,Immunoglobulin J chain ,1,I-14
3348,Apolipoprotein L1 ,0,I-14
3349,Phosphatidylcholine-sterol acyltransferase ,0,I-14
3350,Protein Z-dependent protease inhibitor ,0,I-14
3351,Complement component C9 ,0,I-14
3352,Immunoglobulin heavy variable 3-7 ,1,I-14
3353,CD5 antigen-like ,0,I-14
3354,Immunoglobulin lambda variable 3-10 ,1,I-14
3355,Probable non-functional immunoglobulinn kappa variable 1D-37 ,0,I-14
3356,Probable non-functional immunoglobulinn kappa variable 1-37 ,0,I-14
3357,Fetuin-B ,0,I-14
3358,Immunoglobulin heavy variable 1-8 ,0,I-14
3359,Carboxypeptidase B2 ,0,I-14
3360,Phospholipid transfer protein ,0,I-14
3361,Immunoglobulin kappa variable 3-20 ,0,I-14
3362,Immunoglobulin heavy variable 1-46 ,0,I-14
3363,Haptoglobin ,0,I-14
3364,Immunoglobulin heavy variable 1-2 ,0,I-14
3365,Immunoglobulin heavy variable 1-69D ,0,I-14
3366,Immunoglobulin kappa variable 1-6 ,0,I-14
3367,Gelsolin ,1,I-14
3368,Serum amyloid P-component ,0,I-14
3369,Immunoglobulin heavy variable 3-49 ,1,I-14
3370,Immunoglobulin kappa variable 3-11 ,0,I-14
3371,Complement subcomponent C1r ,0,I-14
3372,Lipopolysaccharide-binding protein ,0,I-14
3373,Immunoglobulin lambda variable 3-27 ,1,I-14
3374,Immunoglobulin heavy variable 1-69-2 ,0,I-14
3375,Immunoglobulin heavy variable 1-18 ,0,I-14
3376,Beta-2-glycoprotein 1 ,0,I-14
3377,Immunoglobulin kappa variable 1-39 ,0,I-14
3378,Immunoglobulin kappa variable 1D-39 ,0,I-14
3379,Vitronectin ,1,I-14
3380,Kininogen-1 ,0,I-14
3381,Hepatocyte growth factor activator ,0,I-14
3382,Immunoglobulin heavy variable 3-23 ,0,I-14
3383,Hyaluronan-binding protein 2 ,0,I-14
3384,Immunoglobulin heavy constant alpha 1 ,0,I-14
3385,Plasma kallikrein ,0,I-14
3386,Ig-like domain-containing protein  ,0,I-14
3387,Complement C1r subcomponent ,0,I-14
3388,Angiotensinogen ,1,I-14
3389,Alpha-2-HS-glycoprotein ,0,I-14
3390,Complement component C6 ,0,I-14
3391,Immunoglobulin kappa variable 3D-20 ,1,I-14
3392,Immunoglobulin heavy constant mu ,0,I-14
3393,Immunoglobulin heavy variable 3-15 ,0,I-14
3394,Immunoglobulin kappa variable 1-27 ,0,I-14
3395,C4b-binding protein alpha chain ,0,I-14
3396,Plasminogen ,1,I-14
3397,Immunoglobulin kappa variable 1-8 ,0,I-14
3398,Carboxypeptidase N subunit 2 ,0,I-14
3399,Immunoglobulin lambda variable 1-47 ,0,I-14
3400,Immunoglobulin kappa variable 1-16 ,0,I-14
3401,Complement factor B ,0,I-14
3402,Fibronectin ,1,I-14
3403,Immunoglobulin lambda constant 3 ,0,I-14
3404,Immunoglobulin heavy variable 4-38-2 ,0,I-14
3405,Immunoglobulin heavy variable 3-9 ,1,I-14
3406,Immunoglobulin kappa variable 3/,0,I-14
3407,Immunoglobulin kappa variable 3D-7 ,0,I-14
3408,Immunoglobulin heavy variable 4-4 ,0,I-14
3409,Prothrombin ,1,I-14
3410,Kallistatin ,0,I-14
3411,Complement component C8 beta chain ,0,I-14
3412,Apolipoprotein D ,0,I-14
3413,Immunoglobulin lambda constant 2 ,0,I-14
3414,Haptoglobin-related protein ,0,I-14
3415,N-acetylmuramoyl-L-alanine amidase ,0,I-14
3416,Immunoglobulin lambda variable 3-21 ,1,I-14
3417,Antithrombin-III ,0,I-14
3418,Heparin cofactor 2 ,0,I-14
3419,Complement C3 ,0,I-14
3420,Immunoglobulin heavy variable 4-39 ,0,I-14
3421,Immunoglobulin heavy constant gamma 4 ,0,I-14
3422,Immunoglobulin heavy constant alpha 2 ,1,I-14
3423,Immunoglobulin heavy constant delta ,0,I-14
3424,Ceruloplasmin ,0,I-14
3425,Complement factor H ,0,I-14
3426,Vitamin D-binding protein ,0,I-14
3427,Alpha-1B-glycoprotein ,0,I-14
3428,Complement C5 ,0,I-14
3429,Insulin-like growth factor-binding protein complex acid labile subunit ,0,I-14
3430,Immunoglobulin kappa variable 3-15 ,0,I-14
3431,Immunoglobulin kappa constant ,0,I-14
3432,Immunoglobulin lambda constant 1 ,0,I-14
3433,Immunoglobulin lambda-like polypeptide 5 ,0,I-14
3434,Immunoglobulin heavy constant gamma 3 ,0,I-14
3435,Immunoglobulin heavy constant gamma 3  ,0,I-14
3436,Complement C1q subcomponent subunit B ,0,I-14
3437,Immunoglobulin heavy variable 3-13 ,0,I-14
3438,Complement component C8 alpha chain ,0,I-14
3439,Albumin ,0,I-14
3440,Immunoglobulin heavy variable 3/,0,I-14
3441,Inter-alpha-trypsin inhibitor heavy chain H1 ,0,I-14
3442,Afamin ,0,I-14
3443,Immunoglobulin kappa variable 4-1 ,0,I-14
3444,Histidine-rich glycoprotein ,0,I-14
3445,Immunoglobulin heavy variable 5-51 ,0,I-14
3446,Immunoglobulin heavy constant gamma 2 ,0,I-14
3447,Complement C4-A ,0,I-14
3448,Serotransferrin ,0,I-14
3449,Alpha-2-macroglobulin ,0,I-14
3450,Clusterin ,1,I-14 PL
3451,Apolipoprotein E ,1,I-14 PL
3452,Actin  cytoplasmic 2 ,1,I-14 PL
3453,Heat shock cognate 71 kDa protein ,1,I-14 PL
3454,Annexin ,1,I-14 PL
3455,Glyceraldehyde-3-phosphate dehydrogenase ,1,I-14 PL
3456,Actin  cytoplasmic 1 ,1,I-14 PL
3457,Heterogeneous nuclear ribonucleoproteins C1/C2 ,1,I-14 PL
3458,Polyubiquitin-C ,1,I-14 PL
3459,40S ribosomal protein SA ,1,I-14 PL
3460,Tubulin alpha-1A chain ,1,I-14 PL
3461,Tubulin alpha-1B chain ,1,I-14 PL
3462,Cathepsin D ,1,I-14 PL
3463,Corneodesmosin ,1,I-14 PL
3464,Histone H2A ,1,I-14 PL
3465,Desmoplakin ,1,I-14 PL
3466,Histone H3 ,1,I-14 PL
3467,Arginase-1 ,1,I-14 PL
3468,Coagulation factor V ,1,I-14 PL
3469,Heterogeneous nuclear ribonucleoprotein U ,1,I-14 PL
3470,Heat shock protein HSP 90-alpha ,1,I-14 PL
3471,Histone H1.2 ,1,I-14 PL
3472,Tubulin alpha-1C chain ,1,I-14 PL
3473,Tubulin alpha chain ,1,I-14 PL
3474,Junction plakoglobin ,1,I-14 PL
3475,Dipeptidyl peptidase 1 ,1,I-14 PL
3476,Histone H2B type 2-F ,1,I-14 PL
3477,Cofilin-1 ,1,I-14 PL
3478,Polyubiquitin-B ,1,I-14 PL
3479,ATP synthase subunit alpha  mitochondrial ,1,I-14 PL
3480,Annexin A2 ,1,I-14 PL
3481,Desmocollin-1 ,1,I-14 PL
3482,Dermokine ,1,I-14 PL
3483,Histone H4 ,1,I-14 PL
3484,Peptidase A1 domain-containing protein ,1,I-14 PL
3485,Histone H1.5 ,1,I-14 PL
3486,Heat shock protein HSP 90-beta ,1,I-14 PL
3487,Histone H3.3 ,1,I-14 PL
3488,Tubulin beta chain ,1,I-14 PL
3489,Histone H1.3 ,1,I-14 PL
3490,Histone H1.4 ,1,I-14 PL
3491,Histone H2A type 2-B ,1,I-14 PL
3492,Heat shock protein 75 kDa  mitochondrial ,1,I-14 PL
3493,Filaggrin-2 ,1,I-14 PL
3494,Alpha-enolase ,1,I-14 PL
3495,Lysozyme C ,1,I-14 PL
3496,Histone H2B ,1,I-14 PL
3497,Histone H2B type 1-C/E/F/G/I ,1,I-14 PL
3498,Histone H2B type 1-D ,1,I-14 PL
3499,Histone H2B type 1-H ,1,I-14 PL
3500,Histone H2B type 1-L ,1,I-14 PL
3501,Histone H2B type 1-M ,1,I-14 PL
3502,Histone H2B type 1-N ,1,I-14 PL
3503,Histone H2B type 1-K ,1,I-14 PL
3504,Histone H2B type F-S ,1,I-14 PL
3505,Immunoglobulin kappa variable 3D-11 ,1,I-14 PL
3506,Apolipoprotein C-III ,1,I-14 PL
3507,Dermcidin ,1,I-14 PL
3508,Ubiquitin-60S ribosomal protein L40 ,1,I-14 PL
3509,Cofilin-2 ,1,I-14 PL
3510,L-lactate dehydrogenase A chain ,1,I-14 PL
3511,C-reactive protein ,1,I-14 PL
3512,Hornerin ,1,I-14 PL
3513,Protein POF1B,1,I-14 PL
3514,Phosphopyruvate hydratase ,1,I-14 PL
3515,Histone H3.1 ,1,I-14 PL
3516,Histone H3.1t ,1,I-14 PL
3517,Histone H3.2 ,1,I-14 PL
3518,60S ribosomal protein L7a ,1,I-14 PL
3519,BRI3-binding protein ,1,I-14 PL
3520,Heterogeneous nuclear ribonucleoprotein C-like 2 ,1,I-14 PL
3521,Ubiquitin-40S ribosomal protein S27a ,1,I-14 PL
3522,Apolipoprotein(a) ,1,I-14 PL
3523,60 kDa heat shock protein  mitochondrial ,1,I-14 PL
3524,Histone H2AX ,1,I-14 PL
3525,Histone H2A type 1-D ,1,I-14 PL
3526,Histone H2A type 1 ,1,I-14 PL
3527,Histone H2A type 1-B/E ,1,I-14 PL
3528,Beta-actin-like protein 2 ,1,I-14 PL
3529,Histone H2A type 1-H ,1,I-14 PL
3530,Histone H2A type 2-A ,1,I-14 PL
3531,Histone H2A type 2-C ,1,I-14 PL
3532,Histone H2A type 1-C ,1,I-14 PL
3533,Histone H2A.J ,1,I-14 PL
3534,Histone H2A type 3 ,1,I-14 PL
3535,Peptidyl-prolyl cis-trans isomerase ,1,I-14 PL
3536,Peptidyl-prolyl cis-trans isomerase A ,1,I-14 PL
3537,Histone H2A type 1-A ,1,I-14 PL
3538,Histone H2A type 1-J ,1,I-14 PL
3539,Immunoglobulin heavy variable 3-64D ,1,I-14 PL
3540,Heterogeneous nuclear ribonucleoprotein C-like 4 ,1,I-14 PL
3541,Desmoglein-1 ,1,I-14 PL
3542,Lipocalin-1 ,1,I-14 PL
3543,Galectin-7 ,1,I-14 PL
3544,Putative lipocalin 1-like protein 1 ,1,I-14 PL
3545,Proteasome subunit alpha type ,1,I-14 PL
3546,Plastin-2 ,1,I-14 PL
3547,T-complex protein 1 subunit delta ,1,I-14 PL
3548,Elongation factor 1-gamma ,1,I-14 PL
3549,HCG2029799 ,1,I-14 PL
3550,ATPase family AAA domain-containing protein 2B ,1,I-14 PL
3551,Nucleoprotein TPR ,1,I-14 PL
3552,Peroxiredoxin-1 ,1,I-14 PL
3553,60S ribosomal protein L6 ,1,I-14 PL
3554,Heterogeneous nuclear ribonucleoprotein C-like 1 ,1,I-14 PL
3555,Heterogeneous nuclear ribonucleoprotein C-like 3 ,1,I-14 PL
3556,Probable non-functional immunoglobulin heavy variable 3-16 ,1,I-14 PL
3557,Triosephosphate isomerase ,1,I-14 PL
3558,60S ribosomal protein L11 ,1,I-14 PL
3559,Plakophilin-1 ,1,I-14 PL
3560,Sarcosine dehydrogenase  mitochondrial ,1,I-14 PL
3561,Proteasome subunit alpha type-6 ,1,I-14 PL
3562,60S ribosomal protein L7 ,1,I-14 PL
3563,Immunoglobulin heavy variable 3-48 ,0,I-14 PL
3564,Apolipoprotein A-IV ,1,I-14 PL
3565,Catalase ,1,I-14 PL
3566,Peroxiredoxin-2 ,1,I-14 PL
3567,Elongation factor 2 ,1,I-14 PL
3568,Immunoglobulin heavy variable 5-10-1 ,1,I-14 PL
3569,ELAV-like protein 1 ,1,I-14 PL
3570,Immunoglobulin heavy variable 3-30-5 ,1,I-14 PL
3571,Immunoglobulin heavy variable 3-30 ,1,I-14 PL
3572,40S ribosomal protein S21 ,0,I-14 PL
3573,40S ribosomal protein S25 ,0,I-14 PL
3574,40S ribosomal protein S6 ,0,I-14 PL
3575,Alpha-amylase 2B ,0,I-14 PL
3576,Aspartate aminotransferase  cytoplasmic ,0,I-14 PL
3577,ATP synthase F(0) complex subunit C3  mitochondrial ,0,I-14 PL
3578,ATPase family AAA domain-containing protein 2B  ,0,I-14 PL
3579,C4b-binding protein beta chain ,0,I-14 PL
3580,Calpain-1 catalytic subunit ,0,I-14 PL
3581,Coiled-coil domain-containing protein 174 ,0,I-14 PL
3582,Cytosolic 5'-nucleotidase 3A ,0,I-14 PL
3583,Disco-interacting protein 2 homolog B ,0,I-14 PL
3584,DNA repair protein REV1 ,0,I-14 PL
3585,Double-stranded RNA-specific editase 1 ,0,I-14 PL
3586,Dual specificity protein phosphatase CDC14A ,0,I-14 PL
3587,Filamin-C ,1,I-14 PL
3588,Glucosylceramide transporter ABCA12 ,0,I-14 PL
3589,Heat shock 70kDa protein 9B (Mortalin-2) ,0,I-14 PL
3590,Kinesin-like protein KIF21A ,0,I-14 PL
3591,MICAL-like protein 1 ,0,I-14 PL
3592,Myosin-9 ,0,I-14 PL
3593,Nephrocystin-4 ,0,I-14 PL
3594,Non-histone chromosomal protein HMG-17 ,0,I-14 PL
3595,Partitioning defective 3 homolog ,0,I-14 PL
